Title,Body,Labels,Milestone
Streamlit Review UI (low-confidence queue + quick fixes),"Build a Streamlit app for:
- Inbox of low-confidence receipts
- Field editors with keyboard shortcuts
- Side-by-side image + extracted data
- Accept/Reject/Needs Attention workflow

Acceptance:
- User can correct a receipt in ≤ 20 seconds.","type:feature, priority:P0, area:ui",v0.1 MVP
Excel & PDF exports with Lindamood branding + hyperlinks,"Export reviewed results to:
- Excel (.xlsx) with hyperlinks to source files and receipts in SharePoint
- Branded PDF summary report with totals by vendor/category
- Optional CSV for interoperability

Acceptance:
- File names + links portable on other PCs (relative or SharePoint URLs).","type:feature, priority:P0, area:export",v0.1 MVP
CLI entrypoints + configuration management,"Provide CLI commands:
- `receipt_app ingest`, `receipt_app process`, `receipt_app review`, `receipt_app export`
Config via `configs/config.yaml` + env overrides.

Acceptance:
- `--help` works; sample config checked in with comments.","type:feature, priority:P0, area:devx",v0.1 MVP
ML-based categorization with active learning,"Train a lightweight model to map receipts to budget categories (e.g., groceries, fuel).
- Start with scikit-learn (linear SVM) using merchant + n-grams + totals
- Add user feedback loop to improve over time
- Save per-user/category rules overrides

Acceptance:
- ≥ 85% macro-F1 on held-out labeled set; UI shows top-3 with confidences.","type:feature, priority:P1, area:ml, milestone:Categorization",v0.2 Categorization
Category rules engine & overrides,"Add YAML rules to force categories for specific merchants/keywords.
- Precedence: explicit rule > ML prediction > default

Acceptance:
- Deterministic application order; audit log of assignments.","type:feature, priority:P1, area:ml, milestone:Categorization",v0.2 Categorization
Monthly budgeting summary + trends dashboard,"Produce monthly rollups by category + vendor with sparklines in UI.
- Export monthly Excel + PDF
- Optional Power BI/SharePoint-friendly CSV

Acceptance:
- Dashboard renders ≤ 3s for 10k receipts.","type:feature, priority:P2, area:reporting",v0.2 Categorization
"SharePoint integration for outputs (folders, links, metadata)","Write exports to SharePoint with stable URLs; set metadata columns (Vendor, Date, Total).
Provide option to keep local copies with same structure.

Acceptance:
- Links in Excel open on other machines without prompts.","type:feature, priority:P1, area:integration",v0.3 Integrations
Email/Gmail/Outlook importer for e-receipts,"Parse incoming receipt emails:
- Watch specific mailbox/folder
- Extract attachments + HTML bodies
- Source tracking (email id) for de-dupe

Acceptance:
- Import ≥ 90% of common merchant e-receipts.","type:feature, priority:P2, area:ingestion, area:integration",v0.3 Integrations
Optional AWS Textract AnalyzeExpense adapter,"Add adapter leveraging Textract AnalyzeExpense for receipts/invoices.
- Map Textract kv/lineItem groups to internal schema
- Config flag `ocr.engine: textract` + credentials

Acceptance:
- Parity tests vs DocTR baseline on benchmark.","type:feature, priority:P2, area:ocr, area:integration",v0.3 Integrations
Benchmark dataset + evaluation harness,"Build a small, anonymized benchmark with gold labels.
- Scripts: split/train/test; compute metrics per field/line item
- Store results per commit for regressions

Acceptance:
- `make bench` outputs a markdown report with metrics + diffs.","type:feature, priority:P0, area:quality, area:ml",v0.1 MVP
Confidence scoring and low-confidence routing,"Compute per-field confidences (OCR + extraction heuristics).
Route low-confidence items to review queue; add thresholds in config.

Acceptance:
- False positive/negative rates documented; thresholds tunable.","type:feature, priority:P0, area:quality",v0.1 MVP
"CI: tests, lint, type-check; pre-commit + GitHub Actions","Add pytest suite with fixtures; mypy; ruff; black; pre-commit hooks.
GH Actions: run tests, lint, and build Docker on PR.

Acceptance:
- PRs blocked if checks fail; coverage report produced.","type:chore, priority:P0, area:ci-cd, area:testing",v0.1 MVP
Docker image + devcontainer,"Provide reproducible environment with CUDA optional.
- `docker compose up` runs the pipeline + UI
- `.devcontainer` for Codespaces/VS Code

Acceptance:
- Setup on new machine in <10 minutes.","type:chore, priority:P1, area:infra",v0.1 MVP
"Logging, tracing, and error reporting","Structured logging (JSON) with correlation IDs; error capture with stack traces.
- Optional Sentry-like hook behind env var
- User-facing error messages in UI

Acceptance:
- Logs include file id, run id, stage; searchable locally.","type:feature, priority:P1, area:ops",v0.1 MVP
Performance: parallelism + batching,"Add ThreadPool/ProcessPool where appropriate; batch OCR calls.
- Configurable concurrency; backpressure on watch folder

Acceptance:
- 2× throughput improvement on benchmark vs baseline.","type:perf, priority:P1, area:pipeline",v0.1 MVP
Security & PII handling,"- Secrets via env/KeyVault; no secrets in repo
- Optional at-rest encryption for images/DB
- Redaction tools for sharing datasets (blur card numbers, barcodes)

Acceptance:
- Security checklist in README; secret scan passes.","type:feature, priority:P0, area:security",v0.1 MVP
Documentation overhaul + architecture diagram,"Consolidate README + docs:
- Quickstart
- Config reference
- Architecture diagram
- Troubleshooting (DocTR install notes, Windows tips)

Acceptance:
- New user can run MVP in <30 minutes.","type:docs, priority:P0, area:docs",v0.1 MVP
CLI import of existing folders (backfill),"Command to import historical archives without watch folder.
- Dedup against DB
- Progress bar + resumable

Acceptance:
- Can ingest 50k files without memory blowups.","type:feature, priority:P2, area:ingestion",v0.2 Categorization
Data quality report per run,"Emit run summary:
- Counts by status (ok/warn/fail)
- Top failing rules
- Low-confidence fields distribution

Acceptance:
- Markdown + CSV outputs saved with timestamped folder.","type:feature, priority:P1, area:quality, area:reporting",v0.1 MVP
Handle split tenders and returns,"Support multiple payment methods per receipt and negative lines for returns/exchanges.

Acceptance:
- Validation accounts for split tenders and negative totals.","type:feature, priority:P2, area:extraction",v0.3 Integrations
Multi-currency & locale support,"Auto-detect currency symbol/code and thousands/decimal separators.
Configurable home currency + FX rates (static for MVP).

Acceptance:
- Correct totals on sample set with EUR/GBP receipts.","type:feature, priority:P2, area:extraction",v0.3 Integrations
"Barcode/QR extraction (loyalty, order ids)","Detect and decode barcodes/QRs to enrich metadata (order id, store id).

Acceptance:
- Where present, IDs attached to receipt record with type + value.","type:feature, priority:P3, area:extraction",Backlog
Anonymized synthetic data generator for testing,"Generate synthetic receipts with controllable noise/blur to expand training/eval.

Acceptance:
- 500 synthetic samples generated with labels for CI bench.","type:feature, priority:P3, area:testing, area:ml",Backlog
API layer (FastAPI) for integrations,"Provide REST endpoints for upload, status, search, and export.
- Auth via token in dev

Acceptance:
- Streamlit UI consumes the API instead of direct DB access.","type:feature, priority:P2, area:api",v0.3 Integrations
Keyboard-first UX improvements in Streamlit,"Add hotkeys for Accept/Reject/Next, field navigation, and quick category assign.

Acceptance:
- Average correction time reduced by 25% in user test.","type:feature, priority:P2, area:ui",v0.2 Categorization
Packaging & release pipeline,"Build versioned releases:
- `pipx`-installable CLI
- Changelog and semantic versioning
- Release notes on GitHub

Acceptance:
- `pipx install receipt-app` works in a clean env.","type:chore, priority:P2, area:ci-cd",v0.3 Integrations
Sampling-based manual QA workflow,"Allow random sampling of processed receipts for spot checks; export discrepancies.

Acceptance:
- 5% sample generation and review flow complete.","type:feature, priority:P3, area:quality",Backlog
Configurable redaction for exports,"Option to redact card numbers, addresses, and barcodes in shared PDFs.

Acceptance:
- Redaction toggled in config; visual QA image produced.","type:feature, priority:P2, area:security, area:export",v0.2 Categorization
Windows-friendly installer & paths,"Smooth setup on Windows 11:
- Handle long paths; OneDrive quirks
- Document Epson Smart Scan recommended settings

Acceptance:
- Fresh Windows laptop runs pipeline without manual package pinning.","type:docs, priority:P1, area:devx",v0.1 MVP
